,winrate,ban_pick_rate,core_items,main_roles
MonkeyKing,50.77,2.67,"['Trinity Force', 'Sundered Sky', 'Plated Steelcaps']","['TOP', 'JUNGLE']"
Mordekaiser,47.36,9.64,"[""Rylai's Crystal Scepter"", 'Riftmaker', 'Plated Steelcaps']",['TOP']
Morgana,49.46,13.675,"[""Zaz'Zak's Realmspike"", ""Zhonya's Hourglass"", ""Liandry's Torment""]",['UTILITY']
Naafiri,57.14,1.25,"['Eclipse', 'Profane Hydra', 'Ionian Boots of Lucidity']",['MIDDLE']
Nami,46.17,5.11,"['Imperial Mandate', 'Ionian Boots of Lucidity', 'Dream Maker']",['UTILITY']
Nasus,48.01,10.14,"['Trinity Force', 'Frozen Heart', 'Ionian Boots of Lucidity']",['TOP']
Nautilus,48.57,17.66,"['Locket of the Iron Solari', 'Celestial Opposition', 'Plated Steelcaps']",['UTILITY']
Neeko,51.85,3.835,"['Hextech Rocketbelt', ""Zaz'Zak's Realmspike"", ""Zhonya's Hourglass""]","['MIDDLE', 'UTILITY']"
Nidalee,50.07,15.25,"[""Sorcerer's Shoes"", 'Lich Bane', ""Liandry's Torment""]",['JUNGLE']
Nilah,51.97,11.54,"['The Collector', 'Infinity Edge', ""Lord Dominik's Regards""]",['BOTTOM']
Nocturne,50.68,12.565,"['Stridebreaker', 'Experimental Hexplate', 'Plated Steelcaps']",['JUNGLE']
Nunu,51.35,1.48,"['Hextech Rocketbelt', ""Sorcerer's Shoes"", 'Stormsurge']","['JUNGLE', 'MIDDLE']"
Olaf,55.67,1.545,"['Stridebreaker', 'Plated Steelcaps', ""Sterak's Gage""]","['TOP', 'JUNGLE']"
Orianna,49.37,4.275,"[""Luden's Companion"", ""Sorcerer's Shoes"", ""Seraph's Embrace""]",['MIDDLE']
Ornn,48.73,2.385,"['Plated Steelcaps', 'Thornmail', 'Sunfire Aegis']",['TOP']
Pantheon,55.17,3.86,"['Eclipse', 'Bloodsong', 'Plated Steelcaps']","['TOP', 'UTILITY']"
Poppy,52.72,11.525,"[""Dead Man's Plate"", 'Bloodsong', 'Plated Steelcaps']",['UTILITY']
Pyke,48.08,22.17,"['Umbral Glaive', 'Bloodsong', 'Synchronized Souls']",['UTILITY']
Qiyana,53.61,2.365,"['Profane Hydra', 'Ionian Boots of Lucidity', ""Youmuu's Ghostblade""]",['MIDDLE']
Quinn,51.67,0.87,"['Synchronized Souls', 'Profane Hydra', 'The Collector']","['TOP', 'MIDDLE']"
Rakan,49.04,4.735,"['Celestial Opposition', 'Locket of the Iron Solari', ""Zeke's Convergence""]",['UTILITY']
Rammus,45.0,1.785,"['Thornmail', 'Sunfire Aegis', ""Jak'Sho, The Protean""]","['TOP', 'JUNGLE']"
RekSai,50.81,1.14,"['Stridebreaker', 'Plated Steelcaps', 'Black Cleaver']",['JUNGLE']
Rell,54.67,16.385,"['Celestial Opposition', 'Locket of the Iron Solari', ""Zeke's Convergence""]",['UTILITY']
Renata,48.48,1.355,"['Locket of the Iron Solari', 'Ionian Boots of Lucidity', 'Celestial Opposition']",['UTILITY']
Renekton,48.0,11.385,"['Eclipse', 'Black Cleaver', 'Plated Steelcaps']",['TOP']
Rengar,47.7,2.315,"['Profane Hydra', 'Ionian Boots of Lucidity', 'Hubris']","['TOP', 'JUNGLE']"
Riven,52.2,2.995,"['Eclipse', 'Black Cleaver', 'Ionian Boots of Lucidity']",['TOP']
Rumble,46.67,2.68,"[""Liandry's Torment"", ""Sorcerer's Shoes"", ""Zhonya's Hourglass""]",['TOP']
Ryze,51.58,1.705,"[""Seraph's Embrace"", 'Rod of Ages', ""Sorcerer's Shoes""]",['MIDDLE']
Samira,53.83,4.37,"['The Collector', 'Infinity Edge', 'Plated Steelcaps']",['BOTTOM']
Sejuani,51.05,2.125,"['Plated Steelcaps', 'Thornmail', ""Zeke's Convergence""]",['JUNGLE']
Senna,52.76,2.785,"['Boots of Swiftness', 'Bloodsong', 'Black Cleaver']",['UTILITY']
